,mse,rmse,mae,r2,training_time,prediction_time
LSTM,0.0013762233603563333,0.03709748455564519,0.02517989997894381,0.9010200775348901,18.312408447265625,0.4265766143798828
GRU,0.0011456732760905153,0.0338477957345898,0.023090491431833962,0.9176015643213422,19.471094608306885,0.5148727893829346
Bidirectional_LSTM,0.00125687332742713,0.03545240933176658,0.023805227516457726,0.909603900005744,32.678314447402954,0.9080893993377686
