,mse,rmse,mae,r2,training_time,prediction_time
LSTM,0.0013262809689438973,0.0364181406574237,0.024706344137365836,0.9046120046683208,22.824870109558105,0.4469759464263916
GRU,0.0011377838191344153,0.03373105126043977,0.022334743312205682,0.918168985177797,18.99962043762207,0.48128700256347656
Bidirectional_LSTM,0.0013913831953715856,0.03730124924679582,0.024518031605494126,0.8999297608482114,23.744866371154785,0.8036468029022217
