,mse,rmse,mae,r2,training_time,prediction_time
LSTM,0.001345530633940307,0.03668147535119474,0.024754649782342052,0.903227541648938,59.38204908370972,1.0071196556091309
GRU,0.0011565097460012224,0.034007495438523876,0.02229061815693417,0.916822190142372,45.014283418655396,1.1684415340423584
Bidirectional_LSTM,0.0013742663652245065,0.03707109878631205,0.02386077391598,0.901160827381167,65.73196721076965,1.905318260192871
